fixture	retained	prototype
fixtures2/00435_opaque_equality_ok.fz	{"applied": 144, "products": 116}	{"applied": 146, "products": 116}
fixtures2/00436_plain_int_arithmetic.fz	{"applied": 120, "products": 90}	{"applied": 124, "products": 90}
fixtures2/00461_if_constant_cond_branch.fz	{"applied": 163, "products": 135}	{"applied": 166, "products": 135}
fixtures2/00462_if_tail_call_arm.fz	{"applied": 186, "products": 157}	{"applied": 190, "products": 157}
fixtures2/00463_case_call_in_clause.fz	{"applied": 141, "products": 122}	{"applied": 143, "products": 122}
fixtures2/00464_with_else_non_matching.fz	{"applied": 121, "products": 104}	{"applied": 123, "products": 104}
fixtures2/00465_if_comparison_cond.fz	{"applied": 186, "products": 157}	{"applied": 190, "products": 157}
fixtures2/00466_nontail_if_join_flow.fz	{"applied": 384, "products": 340}	{"applied": 398, "products": 340}
fixtures2/00467_nontail_case_join_flow.fz	{"applied": 203, "products": 174}	{"applied": 209, "products": 174}
fixtures2/00468_nontail_cond_join_flow.fz	{"applied": 245, "products": 215}	{"applied": 253, "products": 215}
fixtures2/00469_synthesized_branch_no_warn.fz	{"applied": 140, "products": 109}	{"applied": 144, "products": 109}
fixtures2/00483_case_guard_multi_clause.fz	{"applied": 109, "products": 89}	{"applied": 111, "products": 89}
fixtures2/00484_guarded_cons_clause.fz	{"applied": 126, "products": 137}	{"applied": 128, "products": 137}
fixtures2/00501_integer_arithmetic.fz	{"applied": 120, "products": 90}	{"applied": 124, "products": 90}
fixtures2/00503_utf8_valid_from_bytes.fz	{"applied": 337, "products": 385}	{"applied": 342, "products": 385}
fixtures2/00504_import_utf8_valid.fz	{"applied": 152, "products": 122}	{"applied": 155, "products": 122}
fixtures2/00505_alias_utf8_valid.fz	{"applied": 152, "products": 122}	{"applied": 155, "products": 122}
fixtures2/00506_variable_binding.fz	{"applied": 120, "products": 90}	{"applied": 124, "products": 90}
fixtures2/00507_var_immutable_in_expr.fz	{"applied": 142, "products": 104}	{"applied": 146, "products": 104}
fixtures2/00508_tuple_destructure.fz	{"applied": 120, "products": 93}	{"applied": 124, "products": 93}
fixtures2/00509_whitespace_assignment.fz	{"applied": 120, "products": 90}	{"applied": 124, "products": 90}
fixtures2/00511_fn_defined_callable.fz	{"applied": 142, "products": 107}	{"applied": 147, "products": 107}
fixtures2/00512_spawn_send_receive.fz	{"applied": 224, "products": 206}	{"applied": 227, "products": 206}
fixtures2/00513_spawn_new_fn_resume.fz	{"applied": 244, "products": 218}	{"applied": 247, "products": 218}
fixtures2/00514_send_receive_self_list.fz	{"applied": 144, "products": 116}	{"applied": 146, "products": 116}
fixtures2/00515_spawn_receive_after.fz	{"applied": 214, "products": 167}	{"applied": 218, "products": 167}
fixtures2/00516_spawn2_heap_hint.fz	{"applied": 216, "products": 168}	{"applied": 220, "products": 168}
fixtures2/00517_recursive_fn_factorial.fz	{"applied": 212, "products": 152}	{"applied": 220, "products": 152}
